Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Istarska;Istria;Funtana - Fontane;907;455;452;123;784;123;340;42;402;-;123;182;472;130;-;911;453;458;124;787
Istarska;Istria;Gračišće;1.419;711;708;222;1.197;222;562;57;578;-;222;491;592;114;-;1.312;673;639;193;1.119
Istarska;Istria;Grožnjan - Grisignana;736;357;379;84;652;84;270;19;363;-;84;332;255;65;-;656;317;339;81;575
Istarska;Istria;Kanfanar;1.543;768;775;225;1.318;225;646;67;604;1;225;416;744;158;-;1.498;752;746;212;1.286
Istarska;Istria;Karojba;1.438;713;725;241;1.197;241;571;46;580;-;241;494;615;88;-;1.404;686;718;216;1.188
Istarska;Istria;Kaštelir - Labinci - Castelliere-S. Domenica;1.463;734;729;223;1.240;223;566;76;598;-;223;414;683;143;-;1.493;743;750;239;1.254
Istarska;Istria;Kršan;2.951;1.468;1.483;324;2.627;324;1.165;82;1.374;6;324;899;1.473;249;6;2.829;1.405;1.424;354;2.475
Istarska;Istria;Labin;11.642;5.700;5.942;1.352;10.290;1.352;4.543;829;4.907;11;1.352;2.778;5.618;1.877;17;10.424;5.049;5.375;1.201;9.223
Istarska;Istria;Lanišće;329;172;157;30;299;30;102;10;187;-;30;146;129;24;-;268;140;128;25;243
Istarska;Istria;Ližnjan - Lisignano;3.965;2.027;1.938;589;3.376;589;1.620;213;1.539;4;589;779;2.055;539;3;4.087;2.000;2.087;565;3.522
Istarska;Istria;Lupoglav;924;479;445;123;801;123;337;56;408;-;123;340;391;70;-;836;439;397;96;740
Istarska;Istria;Marčana;4.253;2.088;2.165;597;3.656;597;1.613;186;1.853;4;597;1.081;2.111;461;3;4.250;2.068;2.182;544;3.706
Istarska;Istria;Medulin;6.481;3.173;3.308;906;5.575;906;2.470;358;2.744;3;906;881;3.248;1.446;-;6.552;3.187;3.365;835;5.717
Istarska;Istria;Motovun - Montona;1.004;493;511;126;878;126;351;39;488;-;126;415;377;86;-;912;480;432;108;804
Istarska;Istria;Novigrad - Cittanova;4.345;2.050;2.295;574;3.771;574;1.831;213;1.726;1;574;1.113;2.132;526;-;3.889;1.793;2.096;503;3.386
Istarska;Istria;Oprtalj - Portole;850;420;430;85;765;85;306;34;425;-;85;368;318;79;-;748;358;390;85;663
Istarska;Istria;Pazin;8.638;4.293;4.345;1.144;7.494;1.144;3.607;413;3.470;4;1.144;2.348;3.871;1.274;1;8.279;4.072;4.207;1.176;7.103
Istarska;Istria;Pićan;1.827;907;920;241;1.586;241;710;66;810;-;241;647;793;145;1;1.722;851;871;231;1.491
Istarska;Istria;Poreč - Parenzo;16.696;7.987;8.709;2.457;14.239;2.457;6.847;1.038;6.350;4;2.457;3.162;8.494;2.567;16;16.607;7.983;8.624;2.410;14.197
Istarska;Istria;Pula - Pola;57.460;27.550;29.910;7.596;49.864;7.596;22.069;3.670;24.029;96;7.596;10.745;28.590;10.296;233;52.220;24.851;27.369;6.580;45.640
Istarska;Istria;Raša;3.183;1.520;1.663;339;2.844;339;1.170;263;1.411;-;339;1.053;1.499;292;-;2.809;1.373;1.436;307;2.502
Istarska;Istria;Rovinj - Rovigno;14.294;6.859;7.435;1.721;12.573;1.721;5.733;844;5.967;29;1.721;3.045;7.079;2.402;47;12.968;6.166;6.802;1.730;11.238
Istarska;Istria;Sveta Nedelja;2.987;1.475;1.512;346;2.641;346;1.145;183;1.313;-;346;846;1.509;286;-;2.898;1.434;1.464;363;2.535
Istarska;Istria;Sveti Lovreč;1.015;518;497;148;867;148;419;42;406;-;148;344;457;66;-;960;471;489;119;841
Istarska;Istria;Sveti Petar u Šumi;1.065;505;560;186;879;186;438;28;413;-;186;368;427;84;-;1.051;510;541;171;880
Istarska;Istria;Svetvinčenat;2.202;1.106;1.096;271;1.931;271;834;127;970;-;271;671;1.098;162;-;2.179;1.103;1.076;313;1.866
Istarska;Istria;Tar-Vabriga - Torre-Abrega;1.990;987;1.003;287;1.703;287;920;122;661;-;287;531;998;174;-;2.148;1.042;1.106;321;1.827
Istarska;Istria;Tinjan;1.684;828;856;246;1.438;246;659;62;717;-;246;607;677;154;-;1.729;875;854;277;1.452
Istarska;Istria;Umag - Umago;13.467;6.497;6.970;1.760;11.707;1.760;5.776;839;5.071;21;1.760;3.052;6.677;1.959;19;12.699;6.066;6.633;1.813;10.886
Istarska;Istria;Višnjan - Visignano;2.274;1.133;1.141;332;1.942;332;897;105;940;-;332;774;991;177;-;2.096;1.044;1.052;287;1.809
Istarska;Istria;Vižinada - Visinada;1.158;582;576;173;985;173;498;12;475;-;173;402;485;98;-;1.142;579;563;176;966
Istarska;Istria;Vodnjan - Dignano;6.119;3.011;3.108;999;5.120;999;2.219;472;2.429;-;999;1.754;2.807;559;-;5.838;2.861;2.977;903;4.935
Istarska;Istria;Vrsar - Orsera;2.162;1.076;1.086;320;1.842;320;888;92;861;1;320;545;1.102;194;1;1.923;940;983;251;1.672
Istarska;Istria;Žminj;3.483;1.664;1.819;535;2.948;535;1.432;126;1.389;1;535;1.056;1.583;308;1;3.360;1.633;1.727;528;2.832
Dubrovačko-neretvanska;Dubrovnik-Neretva;Blato;3.593;1.698;1.895;540;3.053;540;1.671;132;1.247;3;540;1.051;1.621;375;6;3.330;1.587;1.743;475;2.855
Dubrovačko-neretvanska;Dubrovnik-Neretva;Dubrovačko primorje;2.170;1.060;1.110;329;1.841;329;720;88;1.032;1;329;709;927;202;3;1.636;829;807;198;1.438
Dubrovačko-neretvanska;Dubrovnik-Neretva;Dubrovnik;42.615;20.143;22.472;6.360;36.255;6.360;16.554;2.127;17.555;19;6.360;6.908;19.972;9.242;133;41.562;19.577;21.985;6.332;35.230
Dubrovačko-neretvanska;Dubrovnik-Neretva;Janjina;551;266;285;45;506;45;224;21;261;-;45;181;229;96;-;522;272;250;36;486
Dubrovačko-neretvanska;Dubrovnik-Neretva;Konavle;8.577;4.270;4.307;1.415;7.162;1.415;3.373;482;3.307;-;1.415;1.995;3.923;1.244;-;8.607;4.227;4.380;1.500;7.107
Dubrovačko-neretvanska;Dubrovnik-Neretva;Korčula;5.663;2.812;2.851;827;4.836;827;2.317;413;2.104;2;827;1.176;2.755;905;-;5.415;2.684;2.731;789;4.626
Dubrovačko-neretvanska;Dubrovnik-Neretva;Kula Norinska;1.748;854;894;309;1.439;309;429;147;863;-;309;538;789;112;-;1.414;724;690;179;1.235
Dubrovačko-neretvanska;Dubrovnik-Neretva;Lastovo;792;404;388;104;688;104;256;61;371;-;104;227;350;111;-;748;384;364;97;651
Dubrovačko-neretvanska;Dubrovnik-Neretva;Lumbarda;1.213;616;597;191;1.022;191;513;74;435;-;191;225;648;149;-;1.209;614;595;192;1.017
Dubrovačko-neretvanska;Dubrovnik-Neretva;Metković;16.788;8.302;8.486;3.495;13.293;3.495;4.647;1.540;7.105;1;3.495;3.606;7.749;1.934;4;15.235;7.518;7.717;2.607;12.628
Dubrovačko-neretvanska;Dubrovnik-Neretva;Mljet;1.088;541;547;121;967;121;338;43;586;-;121;377;478;112;-;1.062;545;517;119;943
Dubrovačko-neretvanska;Dubrovnik-Neretva;Opuzen;3.254;1.609;1.645;558;2.696;558;1.084;201;1.411;-;558;813;1.473;410;-;2.838;1.415;1.423;446;2.392
Dubrovačko-neretvanska;Dubrovnik-Neretva;Orebić;4.122;2.041;2.081;617;3.505;617;1.819;153;1.533;-;617;1.017;1.870;618;-;3.705;1.862;1.843;529;3.176
Dubrovačko-neretvanska;Dubrovnik-Neretva;Ploče;10.135;5.054;5.081;1.599;8.536;1.599;3.099;783;4.644;10;1.599;2.269;4.870;1.394;3;8.220;4.034;4.186;1.162;7.058
Dubrovačko-neretvanska;Dubrovnik-Neretva;Pojezerje;991;501;490;178;813;178;247;58;508;-;178;380;394;39;-;943;474;469;139;804
Dubrovačko-neretvanska;Dubrovnik-Neretva;Slivno;1.999;980;1.019;302;1.697;302;582;111;1.004;-;302;639;835;223;-;2.046;1.218;828;175;1.871
Dubrovačko-neretvanska;Dubrovnik-Neretva;Smokvica;916;454;462;123;793;123;411;62;320;-;123;314;375;104;-;868;441;427;136;732
Dubrovačko-neretvanska;Dubrovnik-Neretva;Ston;2.407;1.188;1.219;372;2.035;372;762;107;1.166;-;372;778;1.044;212;1;2.491;1.388;1.103;326;2.165
Dubrovačko-neretvanska;Dubrovnik-Neretva;Trpanj;721;344;377;94;627;94;255;41;331;-;94;189;297;141;-;683;347;336;64;619
Dubrovačko-neretvanska;Dubrovnik-Neretva;Vela Luka;4.137;1.968;2.169;598;3.539;598;1.473;303;1.763;-;598;1.090;2.004;443;2;3.772;1.822;1.950;482;3.290
Dubrovačko-neretvanska;Dubrovnik-Neretva;Zažablje;757;396;361;127;630;127;176;103;351;-;127;299;298;33;-;553;302;251;63;490
Dubrovačko-neretvanska;Dubrovnik-Neretva;Župa dubrovačka;8.331;4.120;4.211;1.615;6.716;1.615;3.493;397;2.826;-;1.615;1.469;4.108;1.122;17;8.705;4.281;4.424;1.682;7.023
Međimurska;Međimurje;Belica;3.176;1.524;1.652;466;2.710;466;1.252;205;1.253;-;466;1.271;1.303;136;-;2.822;1.368;1.454;378;2.444
Međimurska;Međimurje;Čakovec;27.104;12.983;14.121;4.493;22.611;4.493;10.646;1.645;10.312;8;4.493;6.251;12.086;4.269;5;27.122;13.005;14.117;4.330;22.792
Međimurska;Međimurje;Dekanovec;774;365;409;127;647;127;270;48;329;-;127;295;315;37;-;739;353;386;109;630
Međimurska;Međimurje;Domašinec;2.251;1.069;1.182;420;1.831;420;746;95;990;-;420;915;831;85;-;1.923;922;1.001;253;1.670
Međimurska;Međimurje;Donja Dubrava;1.920;942;978;251;1.669;251;707;88;872;2;251;650;900;119;-;1.658;815;843;195;1.463
Međimurska;Međimurje;Donji Kraljevec;4.659;2.221;2.438;659;4.000;659;1.781;184;2.015;20;659;1.517;2.097;348;38;4.043;1.953;2.090;543;3.500
Međimurska;Međimurje;Donji Vidovec;1.399;693;706;196;1.203;196;489;78;636;-;196;562;568;73;-;1.197;611;586;173;1.024
Međimurska;Međimurje;Goričan;2.823;1.388;1.435;426;2.397;426;1.042;150;1.205;-;426;1.007;1.260;130;-;2.343;1.181;1.162;304;2.039
Međimurska;Međimurje;Gornji Mihaljevec;1.917;934;983;290;1.627;290;719;79;829;-;290;809;741;77;-;1.740;838;902;236;1.504
Međimurska;Međimurje;Kotoriba;3.224;1.635;1.589;576;2.648;576;1.047;239;1.362;-;576;1.102;1.368;178;-;2.938;1.500;1.438;499;2.439
Međimurska;Međimurje;Mala Subotica;5.452;2.662;2.790;1.085;4.367;1.085;1.815;300;2.252;-;1.085;1.971;2.141;255;-;4.344;2.137;2.207;925;3.419
Međimurska;Međimurje;Mursko Središće;6.307;3.096;3.211;1.070;5.237;1.070;2.253;364;2.619;1;1.070;1.937;2.817;480;3;5.855;2.877;2.978;936;4.919
Međimurska;Međimurje;Nedelišće;11.975;5.843;6.132;2.284;9.691;2.284;4.435;590;4.665;1;2.284;3.623;5.211;855;2;11.017;5.390;5.627;2.019;8.998
Međimurska;Međimurje;Orehovica;2.685;1.328;1.357;594;2.091;594;720;178;1.189;4;594;1.278;731;78;4;2.720;1.361;1.359;665;2.055
Međimurska;Međimurje;Podturen;3.873;1.964;1.909;671;3.202;671;1.271;265;1.666;-;671;1.517;1.554;131;-;3.517;1.732;1.785;564;2.953
Međimurska;Međimurje;Prelog;7.815;3.867;3.948;1.204;6.611;1.204;3.101;415;3.093;2;1.204;2.457;3.538;601;15;7.027;3.486;3.541;1.038;5.989
Međimurska;Međimurje;Pribislavec;3.136;1.514;1.622;734;2.402;734;1.050;298;1.054;-;734;958;1.282;162;-;2.963;1.449;1.514;719;2.244
Međimurska;Međimurje;Selnica;2.991;1.531;1.460;498;2.493;498;1.030;191;1.271;1;498;1.054;1.289;128;22;2.636;1.346;1.290;367;2.269
Međimurska;Međimurje;Strahoninec;2.682;1.308;1.374;399;2.283;399;1.101;123;1.059;-;399;690;1.361;232;-;2.598;1.256;1.342;391;2.207
Međimurska;Međimurje;Sveta Marija;2.317;1.149;1.168;339;1.978;339;946;127;905;-;339;833;1.013;130;2;1.990;1.013;977;251;1.739
Međimurska;Međimurje;Sveti Juraj na Bregu;5.090;2.545;2.545;847;4.243;847;1.950;361;1.932;-;847;1.673;2.258;312;-;4.929;2.437;2.492;781;4.148
Međimurska;Međimurje;Sveti Martin na Muri;2.605;1.302;1.303;408;2.197;408;1.006;136;1.055;-;408;953;1.105;138;1;2.391;1.173;1.218;349;2.042
Međimurska;Međimurje;Šenkovec;2.879;1.404;1.475;477;2.402;477;1.204;157;1.041;-;477;641;1.370;391;-;2.708;1.310;1.398;372;2.336
Međimurska;Međimurje;Štrigova;2.766;1.356;1.410;390;2.376;390;934;147;1.290;5;390;1.213;973;123;67;2.357;1.162;1.195;281;2.076
Međimurska;Međimurje;Vratišinec;1.984;978;1.006;317;1.667;317;738;106;823;-;317;676;912;79;-;1.673;845;828;208;1.465
Grad Zagreb;City of Zagreb;Grad Zagreb/ City of Zagreb;790.017;369.339;420.678;116.059;673.958;116.059;322.256;43.447;307.802;453;116.059;124.892;352.791;195.326;949;767.131;358.616;408.515;116.644;650.487
