Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Sisačko-moslavačka;Sisak-Moslavina;Glina;9.283;4.661;4.622;1.199;8.084;1.199;2.185;771;5.122;6;1.199;4.231;3.316;527;10;7.116;3.786;3.330;850;6.266
Sisačko-moslavačka;Sisak-Moslavina;Gvozd;2.970;1.425;1.545;276;2.694;276;499;317;1.878;-;276;1.556;1.004;134;-;2.047;1.008;1.039;170;1.877
Sisačko-moslavačka;Sisak-Moslavina;Hrvatska Dubica;2.089;1.001;1.088;304;1.785;304;432;189;1.164;-;304;811;857;117;-;1.462;737;725;162;1.300
Sisačko-moslavačka;Sisak-Moslavina;Hrvatska Kostajnica;2.756;1.335;1.421;395;2.361;395;760;296;1.305;-;395;858;1.280;223;-;1.879;889;990;219;1.660
Sisačko-moslavačka;Sisak-Moslavina;Jasenovac;1.997;967;1.030;275;1.722;275;453;141;1.128;-;275;953;695;74;-;1.559;771;788;161;1.398
Sisačko-moslavačka;Sisak-Moslavina;Kutina;22.760;11.013;11.747;3.582;19.178;3.582;8.508;1.702;8.965;3;3.582;6.135;10.578;2.453;12;19.601;9.427;10.174;2.903;16.698
Sisačko-moslavačka;Sisak-Moslavina;Lekenik;6.032;3.032;3.000;954;5.078;954;2.009;369;2.700;-;954;2.247;2.513;316;2;5.343;2.690;2.653;755;4.588
Sisačko-moslavačka;Sisak-Moslavina;Lipovljani;3.455;1.692;1.763;538;2.917;538;1.157;256;1.504;-;538;1.203;1.522;191;1;2.807;1.384;1.423;420;2.387
Sisačko-moslavačka;Sisak-Moslavina;Majur;1.185;571;614;136;1.049;136;286;91;672;-;136;553;445;51;-;760;364;396;70;690
Sisačko-moslavačka;Sisak-Moslavina;Martinska Ves;3.488;1.686;1.802;489;2.999;489;952;225;1.822;-;489;1.609;1.254;134;2;2.861;1.383;1.478;359;2.502
Sisačko-moslavačka;Sisak-Moslavina;Novska;13.518;6.550;6.968;2.337;11.181;2.337;4.105;1.097;5.979;-;2.337;4.573;5.780;821;7;11.137;5.374;5.763;1.663;9.474
Sisačko-moslavačka;Sisak-Moslavina;Petrinja;24.671;11.930;12.741;3.866;20.805;3.866;7.307;2.550;10.945;3;3.866;7.363;11.131;2.299;12;19.950;9.768;10.182;2.584;17.366
Sisačko-moslavačka;Sisak-Moslavina;Popovača;11.905;6.013;5.892;1.972;9.933;1.972;3.850;873;5.210;-;1.972;4.205;4.984;720;24;10.255;5.133;5.122;1.564;8.691
Sisačko-moslavačka;Sisak-Moslavina;Sisak;47.768;22.706;25.062;6.278;41.490;6.278;16.538;3.835;21.098;19;6.278;11.388;23.691;6.381;30;40.121;18.931;21.190;4.937;35.184
